2025-10-24 09:54:43,084 | WARNING | matplotlib | /Users/vladimir/.matplotlib is not a writable directory
2025-10-24 09:54:43,085 | WARNING | matplotlib | Matplotlib created a temporary cache directory at /var/folders/f0/nbbpk4gd29ncn7gqyc0fhy5h0000gn/T/matplotlib-o3zi8nle because there was an issue with the default path (/Users/vladimir/.matplotlib); it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
2025-10-24 09:54:43.139 system_profiler[48482:1770831] XType: Using static font registry.
2025-10-24 09:54:48,103 | WARNING | matplotlib.font_manager | Matplotlib is building the font cache; this may take a moment.
2025-10-24 09:54:52,338 | INFO | matplotlib.font_manager | Failed to extract font properties from /System/Library/Fonts/Apple Color Emoji.ttc: Could not set the fontsize (invalid pixel size; error code 0x17)
2025-10-24 09:54:52,346 | INFO | matplotlib.font_manager | Failed to extract font properties from /System/Library/Fonts/Supplemental/NISC18030.ttf: Could not set the fontsize (invalid pixel size; error code 0x17)
2025-10-24 09:54:52,360 | INFO | matplotlib.font_manager | Failed to extract font properties from /System/Library/Fonts/LastResort.otf: tuple indices must be integers or slices, not str
2025-10-24 09:54:52,407 | INFO | matplotlib.font_manager | generated new fontManager
2025-10-24 09:54:52,685 | INFO | ct_cmb_validation | Reading map: data/raw/planck/COM_CMB_IQU-smica_2048_R3.00_full.fits
/Users/vladimir/Downloads/ct-cmb-validation/scripts/02d_run_pt1_patch_scan.py:126: HealpyDeprecationWarning: "verbose" was deprecated in version 1.15.0 and will be removed in a future version. 
  m = hp.read_map(map_path, field=0, dtype=float, verbose=False)
2025-10-24 09:54:52,687 | INFO | healpy | NSIDE = 2048
2025-10-24 09:54:52,687 | INFO | healpy | ORDERING = NESTED in fits file
2025-10-24 09:54:52,687 | INFO | healpy | No INDXSCHM keyword in header file: assume IMPLICIT
2025-10-24 09:54:52,687 | INFO | healpy | INDXSCHM = IMPLICIT
2025-10-24 09:54:53,829 | INFO | healpy | Ordering converted to RING
/Users/vladimir/Downloads/ct-cmb-validation/scripts/02d_run_pt1_patch_scan.py:164: HealpyDeprecationWarning: "verbose" was deprecated in version 1.15.0 and will be removed in a future version. 
  mg = hp.synfast(cl, nside=nside, new=True, verbose=False)
2025-10-24 09:54:54,882 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:54,882 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:54,889 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:54,889 | INFO | healpy | -> fwhm is 0.000000 arcmin
/Users/vladimir/Downloads/ct-cmb-validation/scripts/02d_run_pt1_patch_scan.py:68: HealpyDeprecationWarning: "verbose" was deprecated in version 1.15.0 and will be removed in a future version. 
  mp = hp.alm2map(alm_sel, nside=hp.get_nside(m), lmax=lmax, verbose=False)
2025-10-24 09:54:54,919 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:54,919 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:54,923 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:54,923 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:54,928 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:54,928 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:54,932 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:54,933 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:54,934 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:54,956 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:54,980 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:54,980 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:54,981 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:54,981 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:54,985 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,038 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,008 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,008 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,009 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,037 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,038 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,038 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,038 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:54,985 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,109 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,069 | INFO | healpy | -> fwhm is 0.000000 arcmin
