2025-10-24 10:01:02,775 | WARNING | matplotlib | /Users/vladimir/.matplotlib is not a writable directory
2025-10-24 10:01:02,775 | WARNING | matplotlib | Matplotlib created a temporary cache directory at /var/folders/f0/nbbpk4gd29ncn7gqyc0fhy5h0000gn/T/matplotlib-43bukkaq because there was an issue with the default path (/Users/vladimir/.matplotlib); it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
2025-10-24 10:01:02.850 system_profiler[48704:1776117] XType: Using static font registry.
2025-10-24 10:01:07,799 | WARNING | matplotlib.font_manager | Matplotlib is building the font cache; this may take a moment.
2025-10-24 10:01:11,875 | INFO | matplotlib.font_manager | Failed to extract font properties from /System/Library/Fonts/LastResort.otf: tuple indices must be integers or slices, not str
2025-10-24 10:01:11,898 | INFO | matplotlib.font_manager | Failed to extract font properties from /System/Library/Fonts/Apple Color Emoji.ttc: Could not set the fontsize (invalid pixel size; error code 0x17)
2025-10-24 10:01:12,015 | INFO | matplotlib.font_manager | Failed to extract font properties from /System/Library/Fonts/Supplemental/NISC18030.ttf: Could not set the fontsize (invalid pixel size; error code 0x17)
2025-10-24 10:01:12,033 | INFO | matplotlib.font_manager | generated new fontManager
2025-10-24 10:01:12,312 | INFO | ct_cmb_validation | Reading map: data/raw/planck/COM_CMB_IQU-smica_2048_R3.00_full.fits
/Users/vladimir/Downloads/ct-cmb-validation/scripts/02d_run_pt1_patch_scan.py:126: HealpyDeprecationWarning: "verbose" was deprecated in version 1.15.0 and will be removed in a future version. 
  m = hp.read_map(map_path, field=0, dtype=float, verbose=False)
2025-10-24 10:01:12,314 | INFO | healpy | NSIDE = 2048
2025-10-24 10:01:12,314 | INFO | healpy | ORDERING = NESTED in fits file
2025-10-24 10:01:12,314 | INFO | healpy | No INDXSCHM keyword in header file: assume IMPLICIT
2025-10-24 10:01:12,314 | INFO | healpy | INDXSCHM = IMPLICIT
2025-10-24 10:01:13,503 | INFO | healpy | Ordering converted to RING
2025-10-24 10:01:14,602 | INFO | ct_cmb_validation | Applying global mask: data/raw/masks/COM_Mask_CMB-common-Mask-Int_2048_R3.00 (1).fits
/Users/vladimir/Downloads/ct-cmb-validation/scripts/02d_run_pt1_patch_scan.py:135: HealpyDeprecationWarning: "verbose" was deprecated in version 1.15.0 and will be removed in a future version. 
  gmask = hp.read_map(mask_path, dtype=float, verbose=False)
2025-10-24 10:01:14,604 | INFO | healpy | NSIDE = 2048
2025-10-24 10:01:14,604 | INFO | healpy | ORDERING = NESTED in fits file
2025-10-24 10:01:14,604 | INFO | healpy | No INDXSCHM keyword in header file: assume IMPLICIT
2025-10-24 10:01:14,605 | INFO | healpy | INDXSCHM = IMPLICIT
2025-10-24 10:01:15,357 | INFO | healpy | Ordering converted to RING
/Users/vladimir/Downloads/ct-cmb-validation/scripts/02d_run_pt1_patch_scan.py:177: HealpyDeprecationWarning: "verbose" was deprecated in version 1.15.0 and will be removed in a future version. 
  mg = hp.synfast(cl, nside=nside, new=True, verbose=False)
2025-10-24 10:01:16,522 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:16,523 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:16,542 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:16,542 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:16,563 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:16,563 | INFO | healpy | -> fwhm is 0.000000 arcmin
/Users/vladimir/Downloads/ct-cmb-validation/scripts/02d_run_pt1_patch_scan.py:68: HealpyDeprecationWarning: "verbose" was deprecated in version 1.15.0 and will be removed in a future version. 
  mp = hp.alm2map(alm_sel, nside=hp.get_nside(m), lmax=lmax, verbose=False)
2025-10-24 10:01:16,665 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:16,665 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:16,665 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:16,680 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:16,680 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:16,781 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:16,795 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:16,796 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:16,893 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:16,894 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:16,991 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,077 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,077 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,078 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,078 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,092 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,092 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,092 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,110 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,110 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,110 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,110 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,109 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,295 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,386 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,311 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,326 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,380 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,383 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,296 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,536 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,430 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,430 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,431 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,536 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,536 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,387 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,853 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,654 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,655 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,852 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,852 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,955 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,654 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,951 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,952 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,954 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,955 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:17,955 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:17,852 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:18,064 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:18,163 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:18,164 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:18,321 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:18,354 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:18,354 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:18,355 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:18,370 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:18,454 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:18,454 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:18,470 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:18,470 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:18,487 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:18,488 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:18,488 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:18,602 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:18,602 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:18,603 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:18,603 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:18,634 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:18,634 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:18,648 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
